Cultivo;Produccion;Año
Achiote;5.81;2018
Achiote;5.03;2019
Achiote;5.78;2020
Achiote;12.01;2021
Achiote;30.18;2022
Araza;30.33;2018
Araza;35.04;2019
Araza;42.37;2020
Araza;35.08;2021
Araza;44.18;2022
Arroz Cascara;7303.5;2018
Arroz Cascara;6288.75;2019
Arroz Cascara;7492.4;2020
Arroz Cascara;7107.1;2021
Arroz Cascara;7615.5;2022
Brachiaria;870830;2018
Brachiaria;941172;2019
Brachiaria;966027;2020
Brachiaria;913734;2021
Brachiaria;1002752;2022
Cacao;1063.8;2018
Cacao;1180.28;2019
Cacao;1244.72;2020
Cacao;1486.19;2021
Cacao;1499.86;2022
Café;13.09;2018
Café;12.391;2019
Café;15.58;2020
Café;17.3;2021
Café;18.24;2022
Caigua;19.4;2018
Caigua;9.1;2019
Caigua;0;2020
Caigua;0;2021
Caigua;0;2022
Caimito;49.08;2018
Caimito;46.33;2019
Caimito;53.4;2020
Caimito;46.25;2021
Caimito;64.84;2022
Camote;370.45;2018
Camote;469.1;2019
Camote;458.29;2020
Camote;598.54;2021
Camote;476.97;2022
Caña de azucar;1598.9;2018
Caña de azucar;1716.8;2019
Caña de azucar;2272;2020
Caña de azucar;2205.5;2021
Caña de azucar;2245.5;2022
Carambola;122.26;2018
Carambola;141.39;2019
Carambola;135.2;2020
Carambola;148.75;2021
Carambola;148.31;2022
Cocona;270.9;2018
Cocona;311.95;2019
Cocona;354.12;2020
Cocona;383.27;2021
Cocona;489.34;2022
Cocotero;551.5;2018
Cocotero;668.25;2019
Cocotero;765.1;2020
Cocotero;872.2;2021
Cocotero;900.8;2022
Col o Repollo;9;2018
Col o Repollo;25;2019
Col o Repollo;0;2020
Col o Repollo;0;2021
Col o Repollo;8;2022
Copoazu en pulpa;573.55;2018
Copoazu en pulpa;691.3;2019
Copoazu en pulpa;554.65;2020
Copoazu en pulpa;413.85;2021
Copoazu en pulpa;433.49;2022
Frijol G Seco;163.35;2018
Frijol G Seco;201.8;2019
Frijol G Seco;123.85;2020
Frijol G Seco;88.45;2021
Frijol G Seco;47.2;2022
Lechuga;3.1;2018
Lechuga;4.15;2019
Lechuga;0;2020
Lechuga;0;2021
Lechuga;6.3;2022
Lima;350.3;2018
Lima;392.15;2019
Lima;380;2020
Lima;401.9;2021
Lima;412.1;2022
Limon;529.2;2018
Limon;602.55;2019
Limon;626.9;2020
Limon;712;2021
Limon;768.2;2022
Maiz A. Duro;19238.1;2018
Maiz A. Duro;19292.3;2019
Maiz A. Duro;22884.2;2020
Maiz A. Duro;25450.4;2021
Maiz A. Duro;33984.7;2022
Maiz Choclo;72.48;2018
Maiz Choclo;0;2019
Maiz Choclo;0;2020
Maiz Choclo;0;2021
Maiz Choclo;0;2022
Mandarina;481.4;2018
Mandarina;532.65;2019
Mandarina;536.7;2020
Mandarina;507.2;2021
Mandarina;587.6;2022
Mango;262.8;2018
Mango;318.55;2019
Mango;328.5;2020
Mango;316.7;2021
Mango;314.7;2022
Mani Fruta;0;2018
Mani Fruta;0;2019
Mani Fruta;0;2020
Mani Fruta;0;2021
Mani Fruta;0;2022
Marañon;18.1;2018
Marañon;10.83;2019
Marañon;12.5;2020
Marañon;17.4;2021
Marañon;9.75;2022
Naranja;1117;2018
Naranja;1376.2;2019
Naranja;1378.9;2020
Naranja;1414.3;2021
Naranja;1483.45;2022
Palta;508.1;2018
Palta;601;2019
Palta;610.5;2020
Palta;635.5;2021
Palta;606.8;2022
Papaya;44395.5;2018
Papaya;36374;2019
Papaya;33037;2020
Papaya;28501.5;2021
Papaya;13600;2022
Pasto Yaragua;17003;2018
Pasto Yaragua;18419;2019
Pasto Yaragua;25491;2020
Pasto Yaragua;22837;2021
Pasto Yaragua;23360;2022
Pepinillo;18.8;2018
Pepinillo;52.53;2019
Pepinillo;32.08;2020
Pepinillo;20.88;2021
Pepinillo;14.7;2022
Pijuayo;266.3;2018
Pijuayo;264.6;2019
Pijuayo;266.45;2020
Pijuayo;267;2021
Pijuayo;273.9;2022
Pimienta;0;2018
Pimienta;0;2019
Pimienta;0;2020
Pimienta;0;2021
Pimienta;0;2022
Piña;5653.8;2018
Piña;5669.55;2019
Piña;7806.2;2020
Piña;6757;2021
Piña;6113.9;2022
Platano;28979;2018
Platano;34267;2019
Platano;36280;2020
Platano;39025;2021
Platano;36130;2022
Rabano;0;2018
Rabano;0;2019
Rabano;0;2020
Rabano;0;2021
Rabano;0;2022
Sandia;476.1;2018
Sandia;906.05;2019
Sandia;753.6;2020
Sandia;860.5;2021
Sandia;652.5;2022
Soya;0;2018
Soya;0;2019
Soya;0;2020
Soya;0;2021
Soya;0;2022
Tomate;0;2018
Tomate;0;2019
Tomate;0;2020
Tomate;0;2021
Tomate;0;2022
Uncucha;680.84;2018
Uncucha;813.05;2019
Uncucha;789.25;2020
Uncucha;1006.2;2021
Uncucha;759.5;2022
Yuca;14727.5;2018
Yuca;18026;2019
Yuca;20421;2020
Yuca;22302;2021
Yuca;23822;2022
Zapallo;81;2018
Zapallo;66.5;2019
Zapallo;21;2020
Zapallo;6;2021
Zapallo;0;2022
